KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dialogue_KKSS0,Proceed,Fortsetzen,Continuer,Procedi,Proceder,,,,Продолжить,続行する,继续,,,,,,
dialogue_Y0GSQ,Abort,Abbrechen,Interrompre,Interrompi,Abortar,,,,Прервать,中止する,退出,,,,,,
dialogue_uSuiW,Integrated Data Assistant (IDA),Integrierter Daten-Assistent (IDA),Assistant de données intégré (IDA),Assistente Dati Integrata (IDA),Asistente de datos integrado (IDA),,,,Встроенный Исскуственный Компьютерный Ассистент (ВИКА),統合データアシスタント(IDA),集成数据助手(IDA),,,,,,
dialogue_sKeGu,"Ship status: @w1 . .  @w1 Destroyed due to malfunction in the engine systems. @w1 \nCurrent situation: @w1 . .  @w1 Crashed on an unknown planet. @w1 \nPilot status: @w1 . .  @w1 Successfully abandoned ship in an escape pod. @w1 \nPilot health: @w1 . .  @w1 Low, but stable.@w1\nIntegrated Data Assistant (IDA):  @w1 . .  @w1 Rebooted. @p9Welcome back, Commander! @w2 Glad to see you alive!@w4 \n\nWe've had incredible luck!@w1 Being dragged into the TITAN's warp vortex and coming out alive in one piece!@w1 \nI am currently trying to reestablish communication with the Operation Phoenix fleet. @w3\n\nThis will take a few minutes.@p9 In the meantime:@w1 I've been storing our sensor and event logs since our escape from Apollon station in the <color=#ffffff>Empyriopedia Journey Book</color> (<color=#00ff11>F1</color>). @w2\n\nOpen the entry 'Starting The Journey' to read the log.@w2 \n\nAlso: Make sure to pick any item, including the <color=#ffffff>Detector</color>, from your <color=#ffffff>Escape Pod</color> (<color=#00ff11>F</color>) before going elsewhere!
","Status Schiff: @w1 . .  @w1 Zerstört durch Fehlfunktion des Antriebsystems. @w1 \nDerzeitige Situation: @w1 . .  @w1 Notlandung auf einem unbekannten Planeten. @w1 \nStatus Pilot: @w1 . .  @w1 Schiff erfolgreich in einer Rettungskapsel verlassen. @w1 \nGesundheit Pilot: @w1 . .  @w1 Niedrig, aber stabil.@w1\nIntegrierter Daten-Assistent (IDA):  @w1 . .  @w1 Wieder hochgefahren. @p9Willkommen zurück, Commander! @w2 Ich freue mich, dich am Leben zu sehen!@w4 \n\nWir hatten unglaubliches Glück!@w1 In den Warpwirbel der TITAN gezogen zu werden und lebend und in einem Stück wieder herauszukommen!@w1 \nIch versuche derzeit eine Kommunikation mit der Operation Phoenix-Flotte herzustellen. @w3\n\nDas wird ein paar Minuten dauern.@p9 In der Zwischenzeit:@w1 Ich habe unsere Sensor und Ereignislogs seit unserem Entkommen von der Apollon Station im <color=#ffffff>Empyriopedia Reisebuch</color> (<color=#00ff11>F1</color>)gespeichert. @w2\n\nÖffne den Eintrag 'Die Reise beginnt' um sie zu lesen.@w2 \n\nAußerdem: Stelle sicher, dass du alle Gegenstände, inklusive den <color=#ffffff>Detektor</color>, aus deiner <color=#ffffff>Rettungskapsel</color> (<color=#00ff11>F</color>) genommen hast, bevor du irgendwo hingehst!
","Statut vaisseau: @w1  .. @w1 détruit - lié à un dysfonctionnement des systèmes moteur. @w1 \nSituation actuelle: @w1  .. @w1 crashé sur une planète inconnue. @w1 \nStatus pilote: @w1  .. @w1 a pu abandonner le vaisseau avec succès à bord d'un module de survie. @w1 \nSanté du pilote: @w1  .. @w1 précaire mais stable. @w1 \nAssistant de données intégré (IDA): @w1  .. @w1 redémarré. @p9Bienvenue commandant! @w2 Heureux de vous revoir vivant! @w4 \n\nNous avons eu une chance incroyable! @w1 Avoir été entraîné dans le vortex de distorsion du TITAN et en ressortir vivant en un seul morceau!! @w1 \nJe tente de rétablir la communication avec la flotte de l'Opération Phoenix... @w3 Ça prendra quelques minutes. \n\n@p9 En attendant : \n@w1 Je stocke les données et les journaux d'événements depuis notre évasion de la station Apollon dans le \n<color=#ffffff>Journal de bord</color>. @w2 \nVous pouvez le consulter à tout momment avec <color=#00ff11>(F1)</color>. @w2 \n\nEt surtout, assurez-vous de récupérer tous les éléments de votre <color=#ffffff>Module de survie</color> <color=#00ff11>(F)</color> avant de partir!","Stato nave: @w1 . .  @w1 Distrutta a causa di un malfunzionamento nei sistemi motore. @w1 \nSituazione Attuale: @w1 . .  @w1 Schiantata su un pianeta sconosciuto. @w1 \nStato Pilota: @w1 . .  @w1 Ha abbandonato con successo la nave in una capsula di salvataggio. @w1 \nSalute Pilota: @w1 . .  @w1 Bassa, ma stabile.@w1\nAssistente Dati Integrata (IDA):  @w1 . .  @w1 Riavviata. @p9Bentornato, Comandante! @w2 Lieta che tu sia sopravvissuto! @w4 \n\nSto effettuando una valutazione della situazione. Ci vorranno alcuni minuti.\n\nNel frattempo, assicurati di recuperare tutti gli oggetti dalla Capsula di Salvataggio (<color=#00ff08>F</color>) prima di andartene.","Estado de la nave:: @w1 . .  @w1 Destruida debido a un fallo en los sistemas del motor. @w1 \nSituación actual: @w1 . .  @w1 Accidentada en un planeta desconocido. @w1 \nEstado del piloto: @w1 . .  @w1 Abandonó con éxito la nave en una cápsula de escape. @w1 \nSalud del piloto: @w1 . .  @w1 Baja, pero estable.@w1\nAsistente de Datos Integrados (IDA):  @w1 . .  @w1 Reiniciado. @p9¡Bienvenido de nuevo, Comandante! @w2 ¡Me alegra verte con vida! @w4 \n\nActualmente estoy evaluando la situación. Esto tomará unos minutos.\n\nMientras tanto, asegúrate de recoger cualquier objeto de tu cápsula de escape (<color=#00ff08>F</color>) antes de ir a otro lugar.",,,,"Статус корабля: @w1 . .  @w1 Уничтожен из-за неисправности в системах двигателя. @w1 \nТекущая ситуация: @w1 . .  @w1 Авария на неизвестной планете. @w1 \nСтатус пилота: @w1 . .  @w1 Успешно покинул судно в спасательной капсуле. @w1 \nЗдоровье пилота: @w1 . .  @w1 Низкое, но стабильное.@w1\nВстроенный Исскуственный Компьютерный Ассистент (ВИКА):  @w1 . .  @w1 Перезагрузился. @p9С возвращением, командир! @w2 Рада видеть вас живым! @w4 \n\nЯ сейчас оцениваю ситуацию. Это займет несколько минут.\n\nА пока, не забудьте забрать всё из вашей Спасательной капсулы (<color=#00ff08>F</color>) прежде чем отправиться в другое место.",船の状態： @w1 . .  @w1 エンジンシステムの故障により破壊。 @w1 \n現在の状況： @w1 . .  @w1 未知の惑星に墜落。 @w1 \nパイロットの状態： @w1 . .  @w1 脱出ポッドでの船の放棄に成功。 @w1 \nパイロット健康状態： @w1 . .  @w1 低いが安定している。 @w1\n Integrated Data Assistant (IDA)： @w1 . .  @w1 再起動しました。@p4 お帰りなさい、司令官！ @w2 あなたが生きていることが知れてよかった！ @w4 \n\n現在、状況を評価しています。これには数分かかります。\n\nそれまでの間、他の場所に行く前に必ず脱出ポッド(<color=#00ff08>F</color>)からアイテムを取っておいてください。,飞船状态:@w1 . . @w1 由于发动机系统故障而损坏。@w1 \n目前情况: @w1 . .@w1 坠落在未知星球、@w1 \n驾驶员状况: @w1 . .@w1 成功通过逃生舱弃船。 @w1 \n驾驶员生命状况:@w1 . .@w1 很弱，但还稳定。@w1\n集成数据助手(IDA): @w1 . .@w1 重新启动。@p9 欢迎回来，指挥官！@w2 很高兴看到您还活着！@w4 \n\n我们真幸运！@w1 被拖进了泰坦号的翘曲空间漩涡，然后居然活生生地出来了！@w1 \n我目前正试图与凤凰行动舰队重建通讯。@w3\n\n 这将需要几分钟时间。@p9 同时:@w1自从我们从阿波罗站逃出后，我就一直在存储我们的传感器和事件日志，这些日志记录在<color=#ffffffff>帝国霸业旅行手册中（<color=#00ff11>F1</color>）。 @w2\n\n打开“开始旅程”条目阅读日志。@w2 \n\n而且: 去其它地方前确保取走<color=#ffffff>逃生舱</color>内的所有物品(<color=#00ff08>F键</color>)，尤其是<color=#ffffff>探测器</color> 。,,,,,,
dialogue_0KioS,"Thanks for the reminder, IDA!","Danke für die Erinnerung, IDA!",Merci pour le rappel IDA!,"Grazie per il promemoria, IDA!","¡Gracias por el recordatorio, IDA!",,,,"Спасибо за напоминание, ВИКА!",IDA、注意喚起をありがとう！,感谢提醒，IDA！,,,,,,
dialogue_e0uS4,Integrated Data Assistant (IDA),Integrierter Daten-Assistent (IDA),Assistant de données intégrée (IDA),Assistente Dati Integrata (IDA),Asistente de datos integrado (IDA),,,,Встроенный Исскуственный Компьютерный Ассистент (ВИКА),統合データアシスタント(IDA),集成数据助手(IDA),,,,,,
dialogue_GGKSW,"Commander, just for your reference: I've been storing our sensor and event logs since Apollon station in the database. \n\n@w2 Do you want to review them now?","Commander, nur zu deiner Information: Ich habe unsere Sensor- und Ereignisprotokolle seit der Apollon-Station in der Datenbank gespeichert. \n\n@w2 Willst du sie jetzt einsehen?",Commandant: j'ai stocké les données des capteurs et les journaux d'événements en provenance de la station Apollon dans la base de données. \n\n@w2 Voulez-vous les examiner maintenant?,"Comandante, ho registrato nel database i dati forniti dai sensori e dal registro degli eventi dal momento in cui siamo partiti dalla Stazione Apollon. \n\n@w2 Vuoi esaminarli ora?","Comandante, solo para referencia: he estado almacenando nuestros registros de sensores y eventos desde la estación Apollon en la base de datos. \n\n@w2 ¿Desea revisarlos ahora?",,,,"Командир, просто для справки: я храню данные с датчиков и журналы событий со станции Аполлон в своей базе данных. \n\n@w2 Вы хотите просмотреть их сейчас?",司令官、参考までに：私はアポロンステーション以来、我々のセンサーとイベントのログをデータベースに保存しています。 \n\n@w2 今すぐ確認しますか？,指挥官，供你参考:我们从阿波罗空间站以来收集到的传感器数据和事件信息日志都存储在数据库中。\n\n@w2你现在要查看它们吗？,,,,,,
dialogue_G80Sm,Play,Spiele,Lire,Riproduci,Jugar,,,,Играть,再生,播放,,,Oynat,,,
dialogue_iiSSK,Not now,Nicht jetzt,Pas maintenant,Non ora,Ahora no,,,,Не сейчас,今はまだ,现在不要,,,Şimdi değil,,,
dialogue_Wimmu,Integrated Data Assistant (IDA),Integrierter Daten-Assistent (IDA),Assistant de données intégrée (IDA),Assistente Dati Integrata (IDA),Asistente de datos integrado (IDA),,,,Встроенный Исскуственный Компьютерный Ассистент (ВИКА),統合データアシスタント(IDA),集成数据助手(IDA),,,,,,
dialogue_OSqYe,Affirmative. I'll continue saving data until you're ready.,Bestätige. Ich werde weiter Daten sichern bis du fertig bist.,Bien reçu. Je continuerai d'enregistrer les données jusqu'à ce que vous soyez prêt.,Affermativo. Continuerò a raccogliere dati finchè non sarai pronto.,Afirmativo. Continuaré guardando datos hasta que estés listo.,,,,"Подтверждаю. Я буду продолжать сохранять данные, пока вы не будете готовы.",了解。準備が整うまでデータの保存を続けます。,收到。在您准备好之前，我将继续保存数据。,,,,,,
dialogue_8S4ia,Ok IDA,Ok IDA,Ok IDA,Ok IDA,Vale IDA,,,,Хорошо ВИКА.,Ok IDA,好的，IDA,,,,,,
dialogue_qui48,"I'll analyze it for later review, Commander.","Ich analysiere es zur späteren Ansicht, Commander.","Je vais analyser ces données pour un examen ultérieur, commandant.","Lo analizzerò per un successivo esame, comandante.","Lo analizaré para una revisión posterior, Comandante.",,,,"Я проанализирую это для дальнейшего рассмотрения, командир.",後で見直すために分析してみます、司令官。,指挥官，我将对其进行分析以供以后查看。,,,,,,
dialogue_KeiGK,Thanks IDA.,Danke IDA.,Merci IDA.,Grazie IDA.,Gracias IDA.,,,,Спасибо ВИКА.,ありがとうIDA。,谢谢你，IDA,,,,,,
dialogue_8uuC8,Data Analyzation and Visualization Entity (D.A.V.E.),Daten Analysier- und Visualisier Einheit (D.A.V.E),Entité d'Analyse et de Visualisation des Données (D.A.V.E.),Entità Visualizzazione e Analisi Dati (D.A.V.E.),Entidad de Análisis y Visualización de Datos (DAVE),,,,Объект Визуализации Общих Данных (О.В.О.Д.),データ分析・可視化エンティティ(D.A.V.E.),数据分析和可视化实体(戴夫系统),,,,,,
dialogue_YWWi0,"T minus 22 h 30 min @w2 \nJupiter Outpost 31 (Apollon Station) @w2 \nScience Lab \nDr. Greyson, @w2 Dr. Dawson @p9 [D] Doctor Greyson! @w2 Doctor Greyson! @w2 We just got confirmation! @p9 [D] The Waverider protocol has been activated! @w4 \n[G] Great! @w2 The wait is over! @w2 Now let's prepare DAVE and the equipment for the final stage of the project. @w5 Did you save the latest data from the listening posts? @w4 \n[D] Of course, Ma'am. @w4 DAVE is already processing the parameters and adjustments. @p9 \n[G] Good. @w2 This will be a giant leap for mankind. @w2 DAVE? @w4 \n[DAVE] I am already starting the routines, Doctor. @w4 \n[G] Time left? @w3 \n[DAVE] The event will take place in 22h and 25 minutes at about 16:00 local time. @w5 < Internal Countdown synced >","T minus 22h 30min @w2 \nJupiter Aussenposten 31 (Apollon Station) @w2 \nForschungslabor \nDr. Greyson, @w2 Dr. Dawson @p9 [D] Doktor Greyson! @w2 Doktor Greyson! @w2 Wir haben gerade die Bestätigung erhalten! @p9 [D] Das Waverider-Protokoll wurde aktiviert! @w4 \n[G] Großartig! @w2 Das Warten ist vorbei! @w2 Nun lassen Sie uns DAVE und die Ausrüstung für die letzte Phase des Projekts präparieren. @w5 Haben Sie die letzten Daten vom Horchposten gesichert? @w4 \n[D] Selbstverständlich, Ma'am. @w4 DAVE berechnet bereitsdie Parameter und Einstellungen. @p9 \n[G] Gut. @w2 Das wird ein gigantischer Sprung für die Menschheit. @w2 DAVE? @w4 \n[DAVE] Ich starte gerade die Routinen, Doktor. @w4 \n[G] Verbleibende Zeit? @w3 \n[DAVE] Das Ereignis wird in 22h and 25 Minuten um 16:00 lokaler Zeit stattfinden. @w5 < Interner Countdown synchronisiert >","H-moins 22h30min @w2 \nAvant-poste Jupiter 31 (Station Apollon) @w2 \nLabo Scientifique \nDr. Greyson, @w2 Dr. Dawson @p9 [D] Docteur Greyson! @w2 Docteur Greyson! @w2 Nous venons d'avoir confirmation! @p9 [D] Le protocole Waverider a été activé! @w4 \n [G] Super! @w2 L'attente est terminée! @w2 Activons maintenant l'assistant DAVE et préparons l'équipement pour la dernière étape du projet. @w5 Avez-vous sauvegardé les dernières données des messages d'écoute? @w4 \n [D] Oui, Madame. @w4 DAVE traite en ce moment les paramètres et les ajustements. @p9 \n [G] Bien. @w2 Ce sera un pas de géant pour l'humanité. @w2 DAVE? @w4 \n [DAVE] Je démarre actuellement les procédures, Docteur. @w4 \n [G] Temps restant? @w3 \n [DAVE] L'évènement aura lieu dans 22h et 25min à environ 16h00, heure locale. \n@w5 <Compte à rebours interne synchronisé>","Meno 22h e 30min @w2 \nAvamposto Giove 31 (Stazione Apollon) @w2 \nLaboratorio Scientifico \nDr. Greyson, @w2 Dr. Dawson @p9 [D] Dottor Greyson! @w2 Dottor Greyson! @w2 Abbiamo appena ricevuto la conferma! @p9 [D] Il protocollo Waverider è stato attivato! @w4 \n[G] Fantastico! @w2 L'attesa è finita! @w2 Ora prepariamo DAVE e le attrezzature per la fase finale del progetto. @w5 Hai salvato gli ultimi dati ricevuti dagli avamposti di ascolto? @w4 \n[D] Certo, Signora. @w4 DAVE sta già elaborando i parametri e le regolazioni. @p9 \n[G] Bene. @w2 Questo sarà un grande passo per l'umanità. @w2 DAVE? @w4 \n[DAVE] Sto già iniziando le routine, Dottore. @w4 \n[G] Tempo rimasto? @w3 \n[DAVE] L'evento avrà luogo tra 22h e 25 minuti alle 16:00 ora locale. @w5 < Countdown Interno Sincronizzato >","T menos 22h 30min @w2 \nJupiter Outpost 31 (Estación Apollon) @w2 \n Laboratorio de Ciencias \nDr. Greyson, @w2 Dr. Dawson @p9[D] ¡Doctor Greyson! @w2 Doctor Greyson! @w2 ¡Acabamos de recibir la confirmación! @p9 [D] ¡El protocolo Waverider ha sido activado! @w4 \n[G] ¡Genial! @w2 ¡La espera ha terminado! @w2 Ahora preparemos a DAVE y el equipo para la etapa final del proyecto. @w5 ¿Guardaste los últimos datos de las publicaciones de escucha? @w4 \n[D] Por supuesto, señora. @w4 DAVE ya está procesando los parámetros y ajustes. @p9 \n[G] Bien. @w2 Este será un salto gigante para la humanidad. @w2 DAVE? @w4 \n [DAVE] Ya he iniciado las rutinas, doctor. @w4 \n[G] ¿Cuánto tiempo falta? @w3 \n[DAVE] El evento tendrá lugar en 22h y 25 minutos, aproximadamente a las 16:00 hora local. @w5 <Cuenta atrás interna sincronizada>",,,,"Время минус 22 ч 30 мин @w2 \nАванпост Юпитер 31 (Станция Аполлон) @w2 \nНаучная лаборатория \nДр. Грейсон, @w2 Др. Доусон @p9 [D] Доктор Грейсон! @w2 Доктор Грейсон! @w2 Мы только что получили подтверждение! @p9 [D] Протокол Waverider был активирован! @w4 \n[G] Отлично! @w2 Ожидание закончилось! @w2 Теперь давайте подготовим ОВОД и оборудование для финальной стадии проекта. @w5 Вы сохранили последние данные из сообщений прослушивания? @w4 \n[D] Да, мамочка. @w4 ОВОД уже обрабатывает параметры и настройки. @p9 \n[G] Хорошо. @w2 Это будет гигантский скачок для человечества. @w2 ОВОД? @w4 \n[ОВОД] Я уже начиная с процедуры, доктор. @w4 \n[G] Оставшееся время? @w3 \n[ОВОД] Мероприятие состоится в 22 часа 25 минут в 16:00 по местному времени. @w5 < <Внутренний отсчет синхронизирован> >",T マイナス 22時間30分 @w2 \n木星前哨基地31（アポロンステーション）@w2 \nサイエンスラボ\nグレイソン博士、@w2 ドーソン博士 @p9 [D]グレイソン博士！ @w2 グレイソン博士！ @w2 確認が取れました！ @p9 [D]ウェーブライダープロトコルがアクティブになりました！ @w4 \n [G]すばらしい！ @w2 待ち時間が終わった！ @w2 では、プロジェクトの最終段階に向けてDAVEと機器を準備しましょう。 @w5 受信基地から最新のデータを保存しましたか？ @w4 \n [D]もちろん、奥様。 @w4 DAVEはすでにパラメータと調整を処理しています。 @p9 \n [G]いいですね。 @w2 これは人類にとって大きな飛躍となるでしょう。 @w2 DAVE？ @w4 \n [DAVE]私はすでにルーチンを開始しています、ドクター。 @w4 \n [G]残り時間？ @w3 \n [DAVE]開催時間は22時間25分、現地時間16:00頃を予定しています。 @w5 < 内部カウントダウン同期 >,倒计时:22小时30分钟 @w2 \n木星前哨站31 (阿波罗空间站) @w2 \n科学实验室 \n格雷森博士， @w2 道森博士 @p9 [D] 格雷森博士！ @w2 格雷森博士！ @w2 我们刚刚得到确认！@p9 [D] 乘波者协议已经启动了！ @w4 \n[G] 好极了！ @w2 终于不用再等了！ @w2 现在，为项目的最后阶段准备好戴夫的程序和设备。 @w5 您是否保存了监听站中的最新数据？ @w4 \n[D] 那是当然，尊敬的女士。@w4 戴夫已经到了处理参数和调整阶段了。 @p9 \n[G] 太好了。 @w2 这将是人类的一个巨大飞跃！@w2 不是吗戴夫？ @w4 \n[戴夫] 我已经在运行程序了，博士。 @w4 \n[G] 还剩多长时间？ @w3 \n[戴夫] 事件将于本地时间16:00左右，也就是22小时25分钟后开始。@w5 < 内部倒计时已同步 >,,,,,,
